player_name,total_distance,multiplier,Team
Meibrys Viloria,21150,166.535433070866,Kansas City
Tyler O'Neill,21118,166.283464566929,St. Louis
Wilfredo Tovar,20840,164.094488188976,
Nico Hoerner,20810,163.858267716535,Chicago
Dustin Garneau,20356,160.283464566929,
Derek Fisher,20140,158.582677165354,Toronto
Jung Ho Kang,20042,157.811023622047,
Cesar Puello,19931,156.937007874016,
Jace Peterson,19870,156.456692913386,
Carlos Gonzalez,19715,155.236220472441,
Joey Rickard,19242,151.511811023622,San Francisco
Zack Collins,18972,149.385826771654,Chicago
Nick Martini,18956,149.259842519685,San Diego
Ryan Zimmerman,18679,147.07874015748,Washington
Seth Brown,18430,145.11811023622,Oakland
Jonathan Davis,18282,143.952755905512,Toronto
Jedd Gyorko,17802,140.173228346457,Los Angeles
Gavin Lux,17612,138.677165354331,Los Angeles
Kevin Cron,17567,138.322834645669,Arizona
Nick Williams,17511,137.88188976378,Philadelphia
Tim Federowicz,17119,134.795275590551,Texas
Brett Phillips,16902,133.086614173228,Kansas City
Nick Dini,16785,132.165354330709,Kansas City
Mark Reynolds,16477,129.740157480315,
Scott Heineman,16426,129.338582677165,Texas
Abraham Toro,16322,128.51968503937,Houston
JT Riddle,16250,127.952755905512,
Ryan McBroom,16157,127.220472440945,Kansas City
Luke Maile,15964,125.700787401575,Toronto
Ben Zobrist,15863,124.905511811024,Chicago
Daniel Descalso,15651,123.236220472441,Chicago
Jared Walsh,15592,122.771653543307,Los Angeles
Justin Bour,15430,121.496062992126,Los Angeles
Kyle Lewis,15423,121.44094488189,Seattle
Odubel Herrera,15133,119.157480314961,
Austin Hays,14958,117.779527559055,Baltimore
Matt Skole,14905,117.362204724409,Chicago
Yonathan Daza,14821,116.700787401575,Colorado
Kyle Tucker,14798,116.51968503937,Houston
Erik Gonzalez,14755,116.181102362205,Pittsburgh
Pat Valaika,14641,115.283464566929,Colorado
Yu Chang,14602,114.976377952756,Cleveland
Kristopher Negron,14580,114.803149606299,Los Angeles
Steve Pearce,14465,113.897637795276,
Jack Mayfield,14454,113.811023622047,Houston
Cory Spangenberg,14379,113.220472440945,Milwaukee
Robel Garcia,14256,112.251968503937,Chicago
Francisco Cervelli,14105,111.062992125984,Atlanta
Roman Quinn,14085,110.905511811024,
Chris Owings,14072,110.803149606299,Boston
Josh Harrison,13837,108.952755905512,
Max Stassi,13784,108.535433070866,
Kyle Garlick,13730,108.110236220472,
Breyvic Valera,13690,107.795275590551,Toronto
Chris Herrmann,13651,107.488188976378,
Corban Joseph,13437,105.803149606299,Pittsburgh
Gorkys Hernandez,13075,102.952755905512,Boston
Wilmer Difo,13040,102.677165354331,Washington
Michael A. Taylor,12950,101.968503937008,Washington
Jake Elmore,12751,100.40157480315,Pittsburgh
Edwin Rios,12708,100.062992125984,Los Angeles
Daniel Palka,12402,97.6535433070866,Chicago
Kevin Kramer,12158,95.7322834645669,Pittsburgh
Brendan Rodgers,12060,94.9606299212598,
Ryon Healy,11867,93.4409448818898,
Anthony Bemboom,11803,92.9370078740157,Los Angeles
Blake Swihart,11773,92.7007874015748,
Tyler Wade,11711,92.2125984251968,New York
Sean Murphy,11651,91.740157480315,Oakland
Lucas Duda,11537,90.8425196850394,
Austin Wynns,11418,89.9055118110236,Baltimore
Josh Fuentes,11204,88.2204724409449,Colorado
LaMonte Wade Jr,11152,87.8110236220473,Minnesota
Max Fried,10950,86.2204724409449,Atlanta
Austin Allen,10850,85.4330708661417,San Diego
Joe Musgrove,10485,82.5590551181102,Pittsburgh
Bobby Wilson,10208,80.3779527559055,
Tyler Saladino,10187,80.2125984251969,
Adam Wainwright,10152,79.9370078740158,St. Louis
Andrew Knizner,10099,79.5196850393701,St. Louis
Yadiel Rivera,9957,78.4015748031496,
Phil Gosselin,9708,76.4409448818898,Philadelphia
Luis Guillorme,9622,75.7637795275591,New York
Sheldon Neuse,9593,75.5354330708662,Oakland
Giancarlo Stanton,9588,75.496062992126,New York
Kelvin Gutierrez,9356,73.6692913385827,
Jacob deGrom,9322,73.4015748031496,New York
Aramis Garcia,9304,73.259842519685,San Francisco
Kyle Higashioka,9222,72.6141732283465,New York
Thairo Estrada,9216,72.5669291338583,New York
Nicky Delmonico,9199,72.4330708661417,
Rangel Ravelo,8939,70.3858267716536,St. Louis
Braden Bishop,8850,69.6850393700787,Seattle
Abraham Almonte,8823,69.4724409448819,Arizona
Alex Blandino,8797,69.2677165354331,Cincinnati
Richard Urena,8745,68.8582677165354,Toronto
Steven Matz,8696,68.4724409448819,New York
Mason Williams,8559,67.3937007874016,Baltimore
Aaron Altherr,8446,66.503937007874,
Rosell Herrera,8356,65.7952755905512,
Bobby Bradley,8271,65.1259842519685,
Dom Nunez,8151,64.1811023622047,Colorado
Michael Lorenzen,8106,63.8267716535433,Cincinnati
Christian Arroyo,7956,62.6456692913386,
Hyun-Jin Ryu,7953,62.6220472440945,Los Angeles
Jake Fraley,7900,62.2047244094488,
Logan Morrison,7889,62.1181102362205,Philadelphia
Stephen Strasburg,7886,62.0944881889764,Washington
Brian O'Grady,7853,61.8346456692914,Cincinnati
Zack Greinke,7819,61.5669291338583,
AJ Reed,7803,61.4409448818898,
Zack Cozart,7765,61.1417322834646,
Michael Hermosillo,7734,60.8976377952756,Los Angeles
Julio Teheran,7687,60.5275590551181,Atlanta
Jack Flaherty,7575,59.6456692913386,St. Louis
Nick Hundley,7343,57.8188976377953,
Kenta Maeda,7272,57.259842519685,Los Angeles
Steven Brault,7160,56.3779527559055,Pittsburgh
John Ryan Murphy,7145,56.259842519685,Atlanta
Andrew Stevenson,7054,55.5433070866142,Washington
Jon Lester,7019,55.2677165354331,Chicago
Danny Mendick,7012,55.2125984251969,Chicago
Rajai Davis,6990,55.0393700787402,New York
Zach Davies,6966,54.8503937007874,Milwaukee
Lane Thomas,6735,53.0314960629921,
Franklin Barreto,6701,52.7637795275591,Oakland
Madison Bumgarner,6601,51.9763779527559,San Francisco
Miguel Andujar,6464,50.8976377952756,
Mark Trumbo,6422,50.5669291338583,Baltimore
German Marquez,6375,50.1968503937008,
Magneuris Sierra,6366,50.1259842519685,Miami
Zack Wheeler,6350,50,New York
Garrett Stubbs,6197,48.7952755905512,Houston
Domingo Leyba,6117,48.1653543307087,Arizona
Patrick Corbin,6059,47.7086614173228,Washington
Chad Wallach,5993,47.1889763779528,
Brandon Woodruff,5888,46.3622047244095,
Noah Syndergaard,5867,46.1968503937008,New York
Andrew Velazquez,5822,45.8425196850394,Cleveland
Ryan LaMarre,5723,45.0629921259843,Minnesota
Drew Butera,5654,44.5196850393701,Colorado
Juan Centeno,5648,44.4724409448819,Boston
Yu Darvish,5643,44.4330708661417,Chicago
Jaylin Davis,5604,44.1259842519685,San Francisco
Kaleb Cowart,5509,43.3779527559055,Los Angeles
Zach Eflin,5413,42.6220472440945,Philadelphia
Walker Buehler,5386,42.4094488188976,Los Angeles
Vince Velasquez,5355,42.1653543307087,Philadelphia
Seth Mejias-Brean,5271,41.503937007874,San Diego
Clayton Kershaw,5269,41.488188976378,Los Angeles
Mike Soroka,5047,39.740157480315,Atlanta
Terrance Gore,5029,39.5984251968504,
Beau Taylor,4999,39.3622047244095,
Pablo Lopez,4856,38.236220472441,Miami
Cole Hamels,4832,38.0472440944882,Chicago
Miles Mikolas,4812,37.8897637795276,St. Louis
Caleb Smith,4793,37.740157480315,Miami
Caleb Joseph,4788,37.7007874015748,Arizona
Taylor Clarke,4693,36.9527559055118,Arizona
Kyle Hendricks,4633,36.4803149606299,Chicago
Taylor Ward,4621,36.3858267716535,Los Angeles
Ryan Lavarnway,4619,36.3700787401575,
Adrian Sanchez,4583,36.0866141732284,Washington
Taylor Davis,4562,35.9212598425197,
Anibal Sanchez,4534,35.7007874015748,Washington
Max Scherzer,4488,35.3385826771654,Washington
Eric Lauer,4431,34.8897637795276,San Diego
Carter Kieboom,4275,33.6614173228347,
Dakota Hudson,4225,33.2677165354331,St. Louis
Chris Paddack,4165,32.7952755905512,San Diego
Merrill Kelly,4123,32.4645669291339,Arizona
Jeff Samardzija,4120,32.4409448818898,San Francisco
Jake Arrieta,4092,32.2204724409449,
Aaron Nola,4085,32.1653543307087,Philadelphia
Erick Mejia,4076,32.0944881889764,Kansas City
Luis Castillo,4061,31.9763779527559,Cincinnati
Anthony Alford,3998,31.4803149606299,Toronto
Peter Lambert,3969,31.251968503937,Colorado
Tyler Chatwood,3932,30.9606299212598,
Robbie Ray,3824,30.1102362204724,Arizona
Jorge Bonifacio,3809,29.992125984252,
Cristhian Adames,3787,29.8188976377953,San Francisco
Ian Miller,3777,29.740157480315,Minnesota
Tyler Beede,3718,29.2755905511811,San Francisco
Michael Perez,3716,29.259842519685,Tampa Bay
Anthony DeSclafani,3693,29.0787401574803,Cincinnati
Trevor Williams,3682,28.992125984252,Pittsburgh
Peter O'Brien,3671,28.9055118110236,
Sonny Gray,3539,27.8661417322835,Cincinnati
Rene Rivera,3522,27.7322834645669,New York
Donnie Walton,3498,27.5433070866142,Seattle
Kean Wong,3466,27.2913385826772,Tampa Bay
Antonio Senzatela,3380,26.6141732283465,Colorado
Ryan Court,3375,26.5748031496063,
Jarrett Parker,3347,26.3543307086614,
Jose Pirela,3308,26.0472440944882,Philadelphia
Chris Shaw,3277,25.8031496062992,San Francisco
Jon Gray,3243,25.5354330708661,
Ryan Flaherty,3237,25.488188976378,Cleveland
Yangervis Solarte,3237,25.488188976378,
Randy Arozarena,3201,25.2047244094488,St. Louis
Shaun Anderson,3184,25.0708661417323,
Tanner Roark,3152,24.8188976377953,
Tyler Heineman,3112,24.503937007874,Miami
Dallas Keuchel,3088,24.3149606299213,Atlanta
Marcus Stroman,3070,24.1732283464567,New York
Jason Vargas,3037,23.9133858267717,Philadelphia
Chase Anderson,3032,23.8740157480315,Milwaukee
Erik Kratz,2935,23.1102362204724,
Trevor Richards,2930,23.0708661417323,
Jose Quintana,2924,23.0236220472441,Chicago
Luis Torrens,2850,22.4409448818898,San Diego
Ronald Torreyes,2636,20.755905511811,Minnesota
Joey Lucchesi,2530,19.9212598425197,San Diego
Gio Gonzalez,2518,19.8267716535433,Milwaukee
Mike Gerber,2447,19.2677165354331,San Francisco
Travis Jankowski,2438,19.1968503937008,San Diego
Jake Noll,2419,19.0472440944882,
Jeff Hoffman,2412,18.992125984252,Colorado
Juan Graterol,2391,18.8267716535433,Cincinnati
Isaac Galloway,2321,18.2755905511811,
David Freitas,2224,17.511811023622,Milwaukee
Eric Haase,2216,17.4488188976378,Cleveland
Chris Archer,2189,17.2362204724409,
Tony Gonsolin,2186,17.2125984251969,Los Angeles
Jhoulys Chacin,2180,17.1653543307087,
Jordan Lyles,2171,17.0944881889764,Milwaukee
Jordan Yamamoto,2160,17.007874015748,Miami
Sandy Alcantara,2137,16.8267716535433,Miami
Mike Leake,2089,16.4488188976378,Arizona
Austin Voth,2070,16.2992125984252,Washington
Steven Baron,2045,16.1023622047244,Pittsburgh
Dustin May,2014,15.8582677165354,Los Angeles
Bradley Zimmer,1977,15.5669291338583,Cleveland
Scott Schebler,1977,15.5669291338583,
Matt Strahm,1972,15.5275590551181,
Kyle Freeland,1964,15.4645669291339,Colorado
Cole Irvin,1903,14.9842519685039,
Dereck Rodriguez,1872,14.740157480315,
Deivy Grullon,1870,14.7244094488189,Philadelphia
Mike Foltynewicz,1867,14.7007874015748,Atlanta
Rich Hill,1846,14.5354330708661,Los Angeles
Tzu-Wei Lin,1839,14.4803149606299,
Socrates Brito,1818,14.3149606299213,
Raudy Read,1764,13.8897637795276,Washington
Chi Chi Gonzalez,1760,13.8582677165354,Colorado
Michael Wacha,1717,13.5196850393701,St. Louis
Skye Bolt,1716,13.5118110236221,Oakland
Cal Quantrill,1673,13.1732283464567,San Diego
Elieser Hernandez,1665,13.1102362204724,
Julio Urias,1660,13.0708661417323,
Erick Fedde,1649,12.9842519685039,
Wilkin Castillo,1592,12.5354330708661,
Adrian Houser,1489,11.7244094488189,Milwaukee
Ruben Tejada,1488,11.7165354330709,
Zac Gallen,1470,11.5748031496063,
Seby Zavala,1440,11.3385826771654,
Brendan McKay,1436,11.3070866141732,Tampa Bay
Mark Zagunis,1420,11.1811023622047,
Trevor Bauer,1403,11.0472440944882,Cincinnati
Yasmany Tomas,1402,11.0393700787402,
Alex Young,1375,10.8267716535433,Arizona
Dario Agrazal,1341,10.5590551181102,Pittsburgh
Jacob Nottingham,1306,10.2834645669291,Milwaukee
Aaron Wilkerson,1298,10.2204724409449,
Logan Webb,1164,9.16535433070866,San Francisco
Jed Lowrie,1161,9.14173228346457,New York
Mike Montgomery,1154,9.08661417322835,
Tyler Mahle,1152,9.07086614173228,Cincinnati
Brad Keller,1111,8.74803149606299,
Drew Smyly,1096,8.62992125984252,Philadelphia
Tyrone Taylor,1095,8.62204724409449,Milwaukee
Jesus Tinoco,1085,8.54330708661417,Colorado
Zach Green,1065,8.38582677165354,
Joe Ross,1043,8.21259842519685,Washington
Marco Gonzales,1038,8.17322834645669,Seattle
Walker Lockett,1016,8,
Zack Godley,996,7.84251968503937,
Mike Minor,989,7.78740157480315,
Alex Wood,986,7.76377952755906,
Gerrit Cole,968,7.62204724409449,
Luke Weaver,966,7.60629921259843,
Jason Martin,964,7.59055118110236,
Edwin Jackson,954,7.51181102362205,
Edmundo Sosa,948,7.46456692913386,St. Louis
Robert Dugger,914,7.19685039370079,Miami
Luis Perdomo,902,7.10236220472441,
Dinelson Lamet,891,7.01574803149606,San Diego
Nick Margevicius,884,6.96062992125984,
Alec Mills,870,6.8503937007874,Chicago
Josh Tomlin,868,6.83464566929134,
Montana DuRapau,864,6.80314960629921,
Sean Newcomb,849,6.68503937007874,
Drew Gagnon,846,6.66141732283465,
Jake Odorizzi,838,6.59842519685039,
Trevor Cahill,810,6.37795275590551,
Brad Brach,808,6.36220472440945,
Daniel Norris,805,6.33858267716536,
Nick Pivetta,796,6.26771653543307,Philadelphia
JB Shuck,793,6.24409448818898,
Tim Melville,784,6.17322834645669,Colorado
Johnny Davis,783,6.16535433070866,Tampa Bay
Jose Urquidy,719,5.66141732283465,
Sam Haggerty,709,5.58267716535433,New York
Chad Bettis,695,5.47244094488189,
Eduardo Rodriguez,689,5.4251968503937,
Abiatal Avelino,680,5.35433070866142,
Yency Almonte,676,5.32283464566929,
Nick Ciuffo,661,5.20472440944882,
Freddy Peralta,660,5.19685039370079,Milwaukee
John Gant,626,4.92913385826772,
Alen Hanson,624,4.91338582677165,
Mitch Keller,603,4.74803149606299,Pittsburgh
Adam Conley,596,4.69291338582677,Miami
Homer Bailey,571,4.49606299212598,
Charlie Morton,569,4.48031496062992,
CC Sabathia,564,4.44094488188976,
Alex Jackson,554,4.36220472440945,
Drew Pomeranz,544,4.28346456692913,
Danny Duffy,535,4.21259842519685,
Spencer Turnbull,533,4.19685039370079,
Yefry Ramirez,526,4.14173228346457,
Rick Porcello,523,4.11811023622047,
Daniel Ponce de Leon,522,4.11023622047244,
James Marvel,521,4.10236220472441,Pittsburgh
Tres Barrera,509,4.00787401574803,Washington
Touki Toussaint,508,4,
Bryse Wilson,502,3.95275590551181,
Brett Anderson,485,3.81889763779528,
Logan Allen,485,3.81889763779528,
Christian Colon,472,3.71653543307087,Cincinnati
Ivan Nova,471,3.70866141732283,
Conner Menez,467,3.67716535433071,
Kyle McGowin,464,3.65354330708661,
Lucas Sims,457,3.59842519685039,Cincinnati
Casey Sadler,450,3.54330708661417,
Martin Perez,450,3.54330708661417,
Chris Bassitt,447,3.51968503937008,
Phil Maton,444,3.49606299212598,
Kolby Allard,428,3.37007874015748,
Kevin Gausman,426,3.35433070866142,
Nick Ramirez,422,3.32283464566929,
R.J. Alaniz,414,3.25984251968504,Cincinnati
Jesse Chavez,408,3.21259842519685,
Robbie Erlin,392,3.08661417322835,San Diego
Derek Holland,391,3.07874015748032,Chicago
Ross Stripling,386,3.03937007874016,Los Angeles
Gregory Soto,381,3,
Johnny Cueto,381,3,San Francisco
Frankie Montas,380,2.99212598425197,
Jose Urena,378,2.97637795275591,
Seth Lugo,373,2.93700787401575,New York
Jimmie Sherfy,365,2.8740157480315,
Wei-Yin Chen,354,2.78740157480315,
Wade Miley,352,2.77165354330709,
Domingo German,348,2.74015748031496,
Alex McRae,344,2.70866141732283,Pittsburgh
Max Moroff,333,2.62204724409449,
Sean Reid-Foley,326,2.56692913385827,
Craig Stammen,308,2.4251968503937,
Rocky Gale,305,2.40157480314961,
Tommy Milone,301,2.37007874015748,Seattle
Aaron Sanchez,298,2.34645669291339,
Michael Pineda,298,2.34645669291339,
Wilmer Font,295,2.32283464566929,
Shane Bieber,291,2.29133858267717,
Trent Thornton,288,2.26771653543307,
Reynaldo Lopez,287,2.25984251968504,
Nick Kingham,279,2.19685039370079,
Trevor Gott,271,2.13385826771654,
Jose Berrios,260,2.04724409448819,
Lucas Giolito,255,2.00787401574803,
Francisco Liriano,252,1.98425196850394,
Javy Guerra,248,1.95275590551181,
Adrian Morejon,244,1.92125984251969,
Deven Marrero,243,1.91338582677165,
Dan Winkler,240,1.88976377952756,
Tom Eshelman,240,1.88976377952756,
John Means,237,1.86614173228346,
Shelby Miller,237,1.86614173228346,
Griffin Canning,226,1.77952755905512,
Andrew Suarez,224,1.76377952755906,
John Brebbia,223,1.75590551181102,
Jordan Zimmermann,222,1.74803149606299,
Aaron Brooks,221,1.74015748031496,
Justin Verlander,215,1.69291338582677,
Jose Quijada,213,1.67716535433071,
Ariel Jurado,212,1.66929133858268,
Jim Adduci,211,1.66141732283465,
Sam Howard,208,1.63779527559055,Colorado
Justin Dunn,207,1.62992125984252,Seattle
Tyler Lyons,206,1.62204724409449,
Tanner Anderson,202,1.59055118110236,
Tyler Skaggs,202,1.59055118110236,
Chris Mazza,200,1.5748031496063,
Mike Clevinger,199,1.56692913385827,Cleveland
Jacob Waguespack,197,1.5511811023622,
Jeremy Jeffress,194,1.52755905511811,
Jay Jackson,188,1.48031496062992,
Jorge Lopez,188,1.48031496062992,
Joe Hudson,185,1.45669291338583,
Kyle Ryan,185,1.45669291338583,
Hector Noesi,183,1.44094488188976,
Elvis Luciano,170,1.33858267716535,
Jimmy Nelson,170,1.33858267716535,
Archie Bradley,169,1.33070866141732,
Nathan Eovaldi,163,1.28346456692913,
Brent Suter,161,1.26771653543307,Milwaukee
Mike Mayers,146,1.1496062992126,St. Louis
Oliver Drake,143,1.1259842519685,
Adbert Alzolay,131,1.03149606299213,
James Norwood,129,1.01574803149606,Chicago
Yusmeiro Petit,114,0.897637795275591,
Joe Kelly,106,0.834645669291339,
Junior Guerra,94,0.740157480314961,
Jerad Eickhoff,93,0.732283464566929,
Matthew Boyd,90,0.708661417322835,
David Hess,87,0.68503937007874,
Jeremy Hellickson,69,0.543307086614173,
Ronald Bolanos,67,0.52755905511811,San Diego
Kyle Wright,59,0.464566929133858,
T.J. McFarland,55,0.433070866141732,
JD Hammer,48,0.377952755905512,
James Paxton,42,0.330708661417323,
Matt Andriese,42,0.330708661417323,Arizona
Tyler Anderson,40,0.31496062992126,
Carson Fulmer,36,0.283464566929134,
Jakob Junis,35,0.275590551181102,
Andrew Cashner,34,0.267716535433071,
Felix Pena,34,0.267716535433071,
Matt Bowman,34,0.267716535433071,
Ranger Suarez,33,0.259842519685039,Philadelphia
Glenn Sparkman,30,0.236220472440945,
Ross Detwiler,26,0.204724409448819,
Jon Duplantier,24,0.188976377952756,Arizona
Caleb Ferguson,23,0.181102362204724,
Jeremy Walker,20,0.15748031496063,
Luis Escobar,18,0.141732283464567,
Genesis Cabrera,14,0.110236220472441,
Matt Wisler,14,0.110236220472441,
Felix Hernandez,12,0.0944881889763779,
Jaime Barria,10,0.078740157480315,
Joel Kuhnel,10,0.078740157480315,
Raisel Iglesias,10,0.078740157480315,
Robert Stephenson,10,0.078740157480315,
Ryan Carpenter,10,0.078740157480315,
Adam Plutko,8,0.062992125984252,
Jimmy Cordero,8,0.062992125984252,
Donnie Hart,7,0.0551181102362205,
Taylor Williams,7,0.0551181102362205,
J.A. Happ,6,0.047244094488189,
Jalen Beeks,6,0.047244094488189,
Matt Grace,6,0.047244094488189,
Ryan Helsley,6,0.047244094488189,
Dylan Covey,5,0.0393700787401575,
Parker Markel,4,0.031496062992126,Pittsburgh
Roenis Elias,4,0.031496062992126,
Felipe Vazquez,3,0.0236220472440945,
Sean Doolittle,3,0.0236220472440945,
Yusei Kikuchi,3,0.0236220472440945,Seattle
Aaron Civale,2,0.015748031496063,
Jose Suarez,2,0.015748031496063,
Masahiro Tanaka,2,0.015748031496063,
Rookie Davis,2,0.015748031496063,
Adrian Sampson,1,0.0078740157480315,
Sal Romano,1,0.0078740157480315,
